[SRM] 0 - [ISO]
ISO,TableSize,UsedSize,ResCnt,ResLoadFlag
[0],264,80,9,0
,Index,TicketNo,Dummy,Pointer,FN,Type,Size
,[0],0,0,0x3588018,BBAA9FCB.272,OB,32
,[1],2,0,0x24d9e28,95D47CE0.036,RGAMMA,1056
,[2],3,0,0x24da2a8,95D47CE0.037,GGAMMA,1056
,[3],4,0,0x24da728,95D47CE0.038,BGAMMA,1056
,[4],6,0,0x251fab8,FDDFE87C.046,AAY,160
,[5],7,0,0x34a3bb8,D1695146.052,EDG,544
,[6],8,0,0x3c8c2f8,45D2D6DE.053,EDGOSC,288
,[7],9,0,0x2497fb8,DC12C0CA.054,CEDG,320
,[8],10,0,0x34afd58,64CB8820.257,API1,4256
