 160	 160	 160	 160	
6249	5838	5429	5838	
5777	5445	5112	5445	
5313	5066	4814	5066	
5151	4975	4736	4975	
4889	4761	4587	4761	
4584	4480	4332	4480	
4361	4269	4179	4269	
4285	4218	4142	4218	
4300	4237	4155	4237	
4373	4295	4192	4295	
4520	4417	4279	4417	
4780	4642	4458	4642	
5119	4943	4698	4943	
5613	5387	5043	5387	
6275	5974	5523	5974	
7042	6692	6105	6692	
6048	5676	5303	5676	
5601	5306	5018	5306	
5221	4998	4778	4998	
5007	4855	4661	4855	
4734	4625	4516	4625	
4464	4382	4266	4382	
4234	4173	4126	4173	
4158	4124	4096	4124	
4161	4134	4104	4134	
4226	4186	4135	4186	
4361	4293	4211	4293	
4580	4468	4335	4468	
4930	4772	4568	4772	
5397	5191	4901	5191	
6032	5758	5353	5758	
6697	6366	5834	6366	
5907	5559	5224	5559	
5511	5240	4975	5240	
5105	4897	4710	4897	
4799	4655	4500	4655	
4548	4450	4339	4450	
4291	4214	4166	4214	
4198	4155	4133	4155	
4110	4096	4102	4096	
4102	4103	4117	4103	
4153	4148	4151	4148	
4259	4232	4203	4232	
4440	4370	4288	4370	
4728	4593	4438	4593	
5233	5041	4793	5041	
5830	5579	5220	5579	
6397	6093	5619	6093	
5832	5503	5183	5503	
5489	5227	4979	5227	
5098	4912	4703	4912	
4793	4662	4516	4662	
4506	4421	4325	4421	
4248	4185	4160	4185	
4151	4123	4127	4123	
4102	4097	4117	4097	
4096	4104	4130	4104	
4152	4157	4176	4157	
4239	4230	4230	4230	
4385	4345	4302	4345	
4657	4550	4430	4550	
5133	4954	4732	4954	
5670	5437	5119	5437	
6233	5945	5510	5945	
5849	5517	5190	5517	
5479	5219	4973	5219	
5109	4930	4722	4930	
4799	4671	4621	4671	
4546	4467	4380	4467	
4282	4230	4204	4230	
4168	4142	4149	4142	
4128	4118	4132	4118	
4106	4106	4126	4106	
4140	4136	4153	4136	
4216	4199	4204	4199	
4360	4323	4295	4323	
4647	4548	4443	4548	
5080	4901	4694	4901	
5648	5408	5098	5408	
6154	5870	5454	5870	
5907	5563	5242	5563	
5512	5248	5001	5248	
5113	4921	4723	4921	
4820	4689	4544	4689	
4542	4456	4369	4456	
4321	4263	4245	4263	
4215	4177	4179	4177	
4150	4131	4140	4131	
4161	4153	4166	4153	
4198	4183	4191	4183	
4244	4213	4207	4213	
4395	4343	4307	4343	
4682	4576	4472	4576	
5096	4907	4703	4907	
5703	5460	5148	5460	
6196	5903	5496	5903	
6116	5752	5385	5752	
5646	5359	5089	5359	
5142	4924	4739	4924	
4820	4655	4532	4655	
4572	4456	4392	4456	
4406	4332	4305	4332	
4302	4246	4234	4246	
4266	4230	4230	4230	
4339	4310	4309	4310	
4361	4328	4313	4328	
4340	4288	4265	4288	
4491	4414	4358	4414	
4786	4661	4541	4661	
5202	4998	4778	4998	
5803	5541	5218	5541	
6325	6007	5578	6007	
6477	6085	5633	6085	
5938	5621	5285	5621	
5353	5103	4882	5103	
4996	4801	4660	4801	
4741	4609	4531	4609	
4542	4454	4413	4454	
4382	4311	4284	4311	
4400	4332	4313	4332	
4504	4446	4421	4446	
4507	4451	4418	4451	
4493	4421	4374	4421	
4654	4547	4465	4547	
4960	4800	4646	4800	
5416	5182	4932	5182	
6016	5717	5364	5717	
6524	6165	5709	6165	
6818	6372	5888	6372	
6355	5989	5567	5989	
5611	5318	5049	5318	
5193	4957	4774	4957	
4916	4743	4620	4743	
4709	4584	4505	4584	
4550	4444	4381	4444	
4516	4419	4371	4419	
4580	4492	4440	4492	
4602	4513	4454	4513	
4698	4589	4506	4589	
4930	4782	4645	4782	
5240	5031	4825	5031	
5729	5455	5153	5455	
6302	5960	5560	5960	
6858	6448	5942	6448	
7139	6648	6127	6648	
6703	6286	5818	6286	
5946	5619	5283	5619	
5452	5177	4952	5177	
5095	4880	4710	4880	
4871	4697	4567	4697	
4756	4612	4503	4612	
4693	4569	4479	4569	
4715	4597	4507	4597	
4764	4632	4525	4632	
4911	4771	4637	4771	
5179	4992	4804	4992	
5496	5258	4998	5258	
6023	5720	5371	5720	
6589	6205	5760	6205	
7214	6762	6206	6762	
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
