WorkingDir,Type,Select,nZ/SRM,nY/CT,nX/ISO,LV,ZOOM,FifName,FileName,ResId,CheckSum,TicketNo
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,6,0,0,,8CFCA8CA.274,274(0x112),0x8cfca8ca,28
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,6,0,0,,B776B9C4.034,34(0x22),0xb776b9c4,29
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,6,0,0,,931033B7.051,51(0x33),0x931033b7,30
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,6,0,0,,7794813C.257,257(0x101),0x7794813c,31
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,1,0,0,,92E2836A.274,274(0x112),0x92e2836a,10
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,1,0,0,,F3899008.034,34(0x22),0xf3899008,11
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,1,0,0,,3E5605BA.051,51(0x33),0x3e5605ba,12
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,1,0,0,,386AE5C4.257,257(0x101),0x386ae5c4,32
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,2,0,0,,92E2836A.274,274(0x112),0x92e2836a,10
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,2,0,0,,9EC900A6.034,34(0x22),0x9ec900a6,14
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,2,0,0,,CEF248D7.051,51(0x33),0xcef248d7,15
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,2,0,0,,667C6B4D.257,257(0x101),0x667c6b4d,33
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,3,0,0,,92E2836A.274,274(0x112),0x92e2836a,10
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,3,0,0,,D19FB015.034,34(0x22),0xd19fb015,17
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,3,0,0,,77A54382.051,51(0x33),0x77a54382,18
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,3,0,0,,D46026E3.257,257(0x101),0xd46026e3,34
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,4,0,0,,902E85E2.274,274(0x112),0x902e85e2,20
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,4,0,0,,4915E882.034,34(0x22),0x4915e882,21
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,4,0,0,,A7196429.051,51(0x33),0xa7196429,22
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,4,0,0,,E2C9DFE8.257,257(0x101),0xe2c9dfe8,35
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,5,0,0,,8E7A876A.274,274(0x112),0x8e7a876a,24
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,5,0,0,,FE05B2EC.034,34(0x22),0xfe05b2ec,25
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,5,0,0,,81BCCEC4.051,51(0x33),0x81bccec4,26
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,5,0,0,,E141195C.257,257(0x101),0xe141195c,36
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,6,0,0,,8CFCA8CA.274,274(0x112),0x8cfca8ca,28
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,6,0,0,,B776B9C4.034,34(0x22),0xb776b9c4,29
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,6,0,0,,931033B7.051,51(0x33),0x931033b7,30
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,2,6,6,0,0,,7794813C.257,257(0x101),0x7794813c,31
