2704	2704	2704	2704	
13250	11658	11162	11658	
12864	11310	10702	11310	
12622	10998	10642	10998	
12132	10666	10166	10666	
11732	10260	9842	10260	
11260	9918	9228	9918	
10856	9588	9270	9588	
10392	9202	8660	9202	
10098	8912	8598	8912	
9606	8514	8162	8514	
9376	8189	7869	8189	
9024	7940	7746	7940	
8778	7745	7505	7745	
8550	7572	7370	7572	
8292	7397	7102	7397	
8134	7171	6885	7171	
7933	7105	6806	7105	
7705	6981	6804	6981	
7553	6852	6679	6852	
7508	6749	6654	6749	
7401	6697	6541	6697	
7229	6570	6444	6570	
7200	6562	6395	6562	
7154	6479	6333	6479	
7066	6439	6382	6439	
7007	6410	6257	6410	
7115	6420	6263	6420	
7077	6478	6350	6478	
7087	6505	6418	6505	
7096	6491	6399	6491	
7160	6569	6347	6569	
7245	6591	6434	6591	
7368	6705	6484	6705	
7471	6753	6622	6753	
7554	6868	6679	6868	
7708	7008	6859	7008	
7881	7110	6924	7110	
8045	7278	7000	7278	
8276	7352	7127	7352	
8586	7630	7393	7630	
8740	7780	7470	7780	
9090	8070	7915	8070	
9408	8276	8053	8276	
9662	8544	8266	8544	
10044	8828	8628	8828	
10384	9122	8854	9122	
10870	9546	9176	9546	
11086	9918	9660	9918	
11658	10198	9814	10198	
11838	10614	9988	10614	
12266	10836	10558	10836	
12696	11248	10772	11248	
13120	11566	10900	11566	
12672	10834	10542	10834	
12250	10632	10246	10632	
11818	10260	9830	10260	
11324	9930	9564	9930	
11084	9522	9120	9522	
10538	9150	8806	9150	
10116	8790	8482	8790	
9734	8468	8214	8468	
9310	8175	7848	8175	
9018	7963	7586	7963	
8736	7673	7517	7673	
8514	7454	7280	7454	
8280	7306	7107	7306	
8054	7143	6899	7143	
7790	6951	6763	6951	
7683	6843	6665	6843	
7499	6696	6578	6696	
7304	6615	6511	6615	
7245	6472	6327	6472	
7131	6447	6267	6447	
7041	6341	6240	6341	
6922	6272	6153	6272	
6829	6257	6099	6257	
6829	6200	6116	6200	
6788	6180	6074	6180	
6795	6186	6102	6186	
6757	6158	6065	6158	
6830	6249	6080	6249	
6892	6242	6154	6242	
6941	6294	6213	6294	
7014	6371	6194	6371	
7079	6410	6238	6410	
7137	6492	6469	6492	
7281	6611	6494	6611	
7494	6724	6589	6724	
7674	6835	6752	6835	
7781	6986	6806	6986	
8028	7118	6943	7118	
8192	7291	7132	7291	
8500	7511	7214	7511	
