 800	 800	 800	 800	
7941	7280	6587	7280	
7626	7038	6386	7038	
7306	6791	6189	6791	
7008	6546	5975	6546	
6703	6292	5779	6292	
6376	6007	5537	6007	
6098	5769	5338	5769	
5868	5568	5178	5568	
5670	5400	5044	5400	
5494	5254	4920	5254	
5365	5140	4828	5140	
5254	5056	4763	5056	
5149	4968	4689	4968	
5072	4897	4645	4897	
5024	4866	4612	4866	
5001	4846	4598	4846	
5017	4857	4606	4857	
5047	4878	4628	4878	
5099	4931	4662	4931	
5190	5010	4725	5010	
5312	5113	4806	5113	
5452	5232	4900	5232	
5621	5378	5025	5378	
5809	5540	5151	5540	
6052	5754	5305	5754	
6426	6095	5561	6095	
6816	6445	5858	6445	
7120	6719	6334	6719	
7472	7007	6300	7007	
7692	7181	6422	7181	
8002	7369	6563	7369	
9392	8554	7496	8554	
7778	7182	6527	7182	
7493	6952	6340	6952	
7127	6643	6076	6643	
6811	6387	5865	6387	
6488	6111	5646	6111	
6180	5846	5424	5846	
5926	5626	5243	5626	
5723	5455	5098	5455	
5533	5292	4962	5292	
5353	5132	4836	5132	
5170	4979	4718	4979	
5057	4886	4652	4886	
4956	4803	4580	4803	
4891	4752	4542	4752	
4848	4716	4514	4716	
4838	4707	4500	4707	
4853	4718	4511	4718	
4880	4744	4530	4744	
4939	4795	4574	4795	
5023	4866	4628	4866	
5133	4962	4700	4962	
5273	5082	4797	5082	
5438	5223	4910	5223	
5632	5392	5041	5392	
5858	5587	5196	5587	
6184	5887	5411	5887	
6566	6234	5677	6234	
6911	6533	5943	6533	
7217	6800	6142	6800	
7469	6989	6280	6989	
7768	7222	6485	7222	
8219	7548	6680	7548	
7613	7047	6426	7047	
7279	6766	6193	6766	
6893	6437	5921	6437	
6564	6156	5684	6156	
6236	5881	5466	5881	
5989	5670	5290	5670	
5786	5508	5144	5508	
5611	5368	5017	5368	
5418	5210	4893	5210	
5227	5037	4748	5037	
5030	4856	4614	4856	
4863	4713	4511	4713	
4757	4625	4446	4625	
4690	4573	4405	4573	
4655	4542	4381	4542	
4646	4534	4376	4534	
4665	4549	4384	4549	
4691	4573	4400	4573	
4746	4620	4440	4620	
